Zeit;EventTyp;VonZustand;ZuZustand;PatientId;ArztId;SchwesterId
106.27;wartet_in_rezeption_warteschlange;;;18;;
106.49;beendet_rezeption;;;17;;
106.49;rezeption_ohne_termin;;;17;;
106.49;hat_keinen_termin;;;17;;
106.49;benoetigt_schwester_vorbereitung;;;17;;
106.49;schwester_frei;;;17;;
106.49;geht_zur_schwester;;;17;;
106.49;rezeption_frei;;;18;;
106.49;betritt_rezeption;;;18;;
106.49;behandlung_nicht_fertig;;;18;;
106.49;startet_rezeption;;;18;;
106.66;betritt_schwesterzimmer;;;17;;
106.66;startet_schwester_prozess;;;17;;1
107.50;beendet_arzt_behandlung;;;11;2;
107.50;geht_nach_arzt_zur_rezeption;;;11;;
107.50;verlaesst_wartezimmer_fuer_arzt;;;14;;
107.50;geht_zum_arzt;;;14;;
107.67;betritt_rezeption_warteschlange;;;11;;
107.67;rezeption_nicht_frei;;;11;;
107.67;wartet_in_rezeption_warteschlange;;;11;;
107.67;betritt_arztzimmer;;;14;;
107.67;startet_arzt_behandlung;;;14;2;
108.06;betritt_klinik;;;19;;
108.06;geht_zur_rezeption;;;19;;
108.14;betritt_rezeption_warteschlange;;;19;;
108.14;rezeption_nicht_frei;;;19;;
108.14;wartet_in_rezeption_warteschlange;;;19;;
109.63;beendet_schwester_prozess;;;16;;3
109.63;geht_ins_wartezimmer_fuer_arzt;;;16;;
109.80;betritt_wartezimmer_fuer_arzt;;;16;;
110.36;beendet_schwester_prozess;;;17;;1
110.36;geht_ins_wartezimmer_fuer_arzt;;;17;;
110.52;betritt_wartezimmer_fuer_arzt;;;17;;
110.81;beendet_rezeption;;;18;;
110.81;rezeption_hat_termin;;;18;;
110.81;hat_termin;;;18;;
110.81;keine_schwester_vorbereitung;;;18;;
110.81;ueberspringt_schwester;;;18;;
110.81;geht_ins_wartezimmer_fuer_arzt;;;18;;
110.81;rezeption_frei;;;11;;
110.81;betritt_rezeption;;;11;;
110.81;behandlung_bereits_fertig;;;11;;
110.81;startet_rezeption;;;11;;
110.97;betritt_wartezimmer_fuer_arzt;;;18;;
111.05;verlaesst_wartezimmer_fuer_arzt;;;18;;
111.05;geht_zum_arzt;;;18;;
111.06;beendet_rezeption;;;11;;
111.06;macht_folgetermin_aus_oder_rezept;;;11;;
111.06;geht_zum_ausgang;;;11;;
111.06;rezeption_frei;;;19;;
111.06;betritt_rezeption;;;19;;
111.06;behandlung_nicht_fertig;;;19;;
111.06;startet_rezeption;;;19;;
111.14;verlaesst_klinik;;;11;;
111.21;betritt_arztzimmer;;;18;;
111.21;startet_arzt_behandlung;;;18;1;
112.22;betritt_klinik;;;20;;
112.22;geht_zur_rezeption;;;20;;
112.30;betritt_rezeption_warteschlange;;;20;;
112.30;rezeption_nicht_frei;;;20;;
