Prognosemodell-Auswertung
==================================================
Prognoseprüfungen gesamt: 6.334
Richtig (+/-30 % oder +/-5 min): 5.263
Trefferquote: 83,09 %
Prognose-Abbrüche: 55
Aufnahmeprognose-Abweisungen: 97
Mittlere geschaetzte Restzeit: 43,54 min
Mittlere tatsaechliche Restzeit: 49,48 min
Mittlere absolute Abweichung: 12,42 min
Mittlere prognostizierte Bearbeitungs-Restzeit: 8,20 min
Mittlere gesampelte Bearbeitungs-Restzeit: 8,20 min
Mittlere absolute Bearbeitungs-Abweichung: 0,00 min

Trefferquote je Phase
--------------------------------------------------
Ankunft: 945/1281 (73,77 %) | Prognose 75,51 min | Ist 79,36 min | abs. Abw. 23,98 min
  Bearbeitung: Prognose 12,12 min | Sample 12,12 min | abs. Abw. 0,00 min
NachArzt: 1219/1219 (100,00 %) | Prognose 17,45 min | Ist 17,47 min | abs. Abw. 0,02 min
  Bearbeitung: Prognose 1,16 min | Sample 1,16 min | abs. Abw. 0,00 min
NachRezeption: 993/1230 (80,73 %) | Prognose 43,75 min | Ist 52,48 min | abs. Abw. 13,25 min
  Bearbeitung: Prognose 10,08 min | Sample 10,08 min | abs. Abw. 0,00 min
NachSchwester: 569/688 (82,70 %) | Prognose 42,99 min | Ist 50,99 min | abs. Abw. 12,17 min
  Bearbeitung: Prognose 7,64 min | Sample 7,64 min | abs. Abw. 0,00 min
VorArzt: 989/1228 (80,54 %) | Prognose 35,24 min | Ist 42,76 min | abs. Abw. 11,07 min
  Bearbeitung: Prognose 7,60 min | Sample 7,60 min | abs. Abw. 0,00 min
VorSchwester: 548/688 (79,65 %) | Prognose 45,21 min | Ist 55,63 min | abs. Abw. 14,00 min
  Bearbeitung: Prognose 12,06 min | Sample 12,06 min | abs. Abw. 0,00 min


Details
PatientId;Phase;ZeitpunktMin;PrognoseRestMin;IstRestMin;AbweichungMin;AbweichungProzent;PrognoseBearbeitungsRestMin;GesampelteBearbeitungsRestMin;AbweichungBearbeitungMin;AbweichungBearbeitungProzent;Korrekt;PrognoseFertigBisSchichtende
23;NachRezeption;74.38;5.53;6.53;-1.00;-15.35;1.15;1.15;0.00;0.00;1;1
23;VorArzt;76.85;3.07;4.07;-1.00;-24.64;1.15;1.15;0.00;0.00;1;1
23;NachArzt;80.66;0.25;0.25;0.00;0.00;0.00;0.00;0.00;;1;1
19;Ankunft;66.92;14.77;14.08;0.69;4.91;4.33;4.33;0.00;0.00;1;1
19;NachRezeption;69.81;8.92;11.19;-2.27;-20.33;3.48;3.48;-0.00;-0.00;1;1
19;VorArzt;74.83;6.15;6.17;-0.02;-0.29;3.48;3.48;-0.00;-0.00;1;1
19;NachArzt;79.34;1.66;1.66;0.00;0.00;0.96;0.96;-0.00;-0.00;1;1
22;Ankunft;70.73;10.52;10.84;-0.32;-2.96;6.24;6.24;0.00;0.00;1;1
22;NachRezeption;73.37;7.76;8.20;-0.44;-5.31;4.95;4.95;-0.00;-0.00;1;1
22;VorSchwester;73.37;7.76;8.20;-0.44;-5.31;4.95;4.95;-0.00;-0.00;1;1
22;NachSchwester;76.28;5.84;5.28;0.55;10.44;2.21;2.21;0.00;0.00;1;1
22;VorArzt;76.61;5.19;4.96;0.23;4.71;2.21;2.21;0.00;0.00;1;1
22;NachArzt;80.15;1.42;1.42;0.00;0.00;0.57;0.57;0.00;0.00;1;1
24;Ankunft;75.52;18.93;17.29;1.65;9.53;15.85;15.85;0.00;0.00;1;1
24;NachRezeption;76.60;16.21;16.21;0.00;0.00;14.85;14.85;0.00;0.00;1;1
24;VorSchwester;76.60;16.21;16.21;0.00;0.00;14.85;14.85;0.00;0.00;1;1
24;NachSchwester;82.48;10.33;10.33;0.00;0.00;9.13;9.13;0.00;0.00;1;1
24;VorArzt;83.26;9.55;9.55;0.00;0.00;9.13;9.13;0.00;0.00;1;1
24;NachArzt;90.91;1.90;1.90;0.00;0.00;1.65;1.65;0.00;0.00;1;1
27;Ankunft;94.41;8.09;8.09;0.00;0.00;3.75;3.75;0.00;0.00;1;1
